AE,Vogtlandkreis,Sachsen
AH,Kreis Borken,Nordrhein-Westfalen
AIB,Landkreis Rosenheim,Bayern
ALF,Landkreis Hildesheim,Niedersachsen
ALZ,Landkreis Aschaffenburg,Bayern
ANA,Erzgebirgskreis,Sachsen
ANG,Landkreis Uckermark,Brandenburg
ANK,Landkreis Vorpommern-Greifswald (ohne die Stadt Greifswald),Mecklenburg-Vorpommern
APD,Landkreis Weimarer Land,Thüringen
ARN,Ilm-Kreis,Thüringen
ART,Kyffhäuserkreis,Thüringen
ASL,Salzlandkreis,Sachsen-Anhalt
ASZ,Erzgebirgskreis,Sachsen
AT,Landkreis Mecklenburgische Seenplatte (ohne die Stadt Neubrandenburg),Mecklenburg-Vorpommern
AU,Erzgebirgskreis,Sachsen
AZE,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
BBG,Salzlandkreis,Sachsen-Anhalt
BCH,Neckar-Odenwald-Kreis,Baden-Württemberg
BE,Kreis Warendorf,Nordrhein-Westfalen
BED,Landkreis Mittelsachsen,Sachsen
BER,Landkreis Barnim,Brandenburg
BF,Kreis Steinfurt,Nordrhein-Westfalen
BH,Landkreis Rastatt,Baden-Württemberg
BID,Landkreis Marburg-Biedenkopf,Hessen
BIN,Landkreis Mainz-Bingen,Rheinland-Pfalz
BIW,Landkreis Bautzen,Sachsen
BK,Rems-Murr-Kreis,Baden-Württemberg
BKS,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
BLB,Kreis Siegen-Wittgenstein,Nordrhein-Westfalen
BNA,Landkreis Leipzig,Sachsen
BÖ,Landkreis Börde,Sachsen-Anhalt
BOH,Kreis Borken,Nordrhein-Westfalen
BRG,Landkreis Jerichower Land,Sachsen-Anhalt
BRK,Landkreis Bad Kissingen,Bayern
BRL,Landkreis Goslar,Niedersachsen
BRV,Landkreis Rotenburg (Wümme),Niedersachsen
BTF,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
BÜD,Wetteraukreis,Hessen
BUL,Landkreis Schwandorf,Bayern
BÜR,Kreis Paderborn,Nordrhein-Westfalen
BÜZ,Landkreis Rostock,Mecklenburg-Vorpommern
CA,Landkreis Oberspreewald-Lausitz,Brandenburg
CAS,Kreis Recklinghausen,Nordrhein-Westfalen
CLZ,Landkreis Goslar,Niedersachsen
CR,Landkreis Schwäbisch Hall,Baden-Württemberg
DBR,Landkreis Rostock,Mecklenburg-Vorpommern
DI,Landkreis Darmstadt-Dieburg,Hessen
DIL,Lahn-Dill-Kreis (ohne die Stadt Wetzlar),Hessen
DIN,Kreis Wesel,Nordrhein-Westfalen
DIZ,Rhein-Lahn-Kreis,Rheinland-Pfalz
DKB,Landkreis Ansbach,Bayern
DL,Landkreis Mittelsachsen,Sachsen
DM,Landkreis Mecklenburgische Seenplatte (ohne die Stadt Neubrandenburg),Mecklenburg-Vorpommern
DUD,Landkreis Göttingen (ohne die Stadt Göttingen),Niedersachsen
DW,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
DZ,Landkreis Nordsachsen,Sachsen
EB,Landkreis Nordsachsen,Sachsen
EBN,Landkreis Haßberge,Bayern
EBS,Landkreis Forchheim,Bayern
ECK,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
EG,Landkreis Rottal-Inn,Bayern
EIL,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
EIN,Landkreis Northeim,Niedersachsen
EIS,Saale-Holzland-Kreis,Thüringen
ERK,Kreis Heinsberg,Nordrhein-Westfalen
ESB,Landkreis Neustadt an der Waldnaab,Bayern
EW,Landkreis Barnim,Brandenburg
FDB,Landkreis Aichach-Friedberg,Bayern
FEU,Landkreis Ansbach,Bayern
FI,Landkreis Elbe-Elster,Brandenburg
FKB,Landkreis Waldeck-Frankenberg,Hessen
FLÖ,Landkreis Mittelsachsen,Sachsen
FOR,Landkreis Spree-Neiße,Brandenburg
FRW,Landkreis Märkisch-Oderland,Brandenburg
FTL,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
FÜS,Landkreis Ostallgäu,Bayern
FZ,Schwalm-Eder-Kreis,Hessen
GA,Altmarkkreis Salzwedel,Sachsen-Anhalt
GAN,Landkreis Northeim,Niedersachsen
GC,Landkreis Zwickau,Sachsen
GD,Ostalbkreis,Baden-Württemberg
GDB,Landkreis Nordwestmecklenburg (ohne die Stadt Wismar),Mecklenburg-Vorpommern
GEL,Kreis Kleve,Nordrhein-Westfalen
GEO,Landkreis Schweinfurt,Bayern
GHA,Landkreis Leipzig,Sachsen
GHC,Landkreis Wittenberg,Sachsen-Anhalt
GK,Kreis Heinsberg,Nordrhein-Westfalen
GLA,Kreis Recklinghausen,Nordrhein-Westfalen
GMN,Landkreis Vorpommern-Rügen (ohne die Stadt Stralsund),Mecklenburg-Vorpommern
GN,Main-Kinzig-Kreis (ohne die Stadt Hanau),Hessen
GNT,Landkreis Jerichower Land,Sachsen-Anhalt
GOA,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
GOH,Rhein-Lahn-Kreis,Rheinland-Pfalz
GRA,Landkreis Freyung-Grafenau,Bayern
GRH,Landkreis Meißen,Sachsen
GRI,Landkreis Rottal-Inn,Bayern
GRM,Landkreis Leipzig,Sachsen
GÜ,Landkreis Rostock,Mecklenburg-Vorpommern
GUB,Landkreis Spree-Neiße,Brandenburg
GUN,Landkreis Weißenburg-Gunzenhausen,Bayern
GV,Rhein-Kreis Neuss,Nordrhein-Westfalen
GVM,Landkreis Nordwestmecklenburg (ohne die Stadt Wismar),Mecklenburg-Vorpommern
GW,Landkreis Vorpommern-Greifswald (ohne die Stadt Greifswald),Mecklenburg-Vorpommern
HAB,Landkreis Bad Kissingen,Bayern
HBS,Landkreis Harz,Sachsen-Anhalt
HC,Landkreis Mittelsachsen,Sachsen
HCH,Zollernalbkreis,Baden-Württemberg
HDL,Landkreis Börde,Sachsen-Anhalt
HEB,Landkreis Nürnberger Land,Bayern
HET,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
HGN,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
HHM,Burgenlandkreis,Sachsen-Anhalt
HIG,Landkreis Eichsfeld,Thüringen
HIP,Landkreis Roth,Bayern
HMÜ,Landkreis Göttingen (ohne die Stadt Göttingen),Niedersachsen
HOG,Landkreis Kassel,Hessen
HOH,Landkreis Haßberge,Bayern
HOR,Landkreis Freudenstadt,Baden-Württemberg
HÖS,Landkreis Erlangen-Höchstadt,Bayern
HOT,Landkreis Zwickau,Sachsen
HU,Main-Kinzig-Kreis,Hessen
HV,Landkreis Stendal,Sachsen-Anhalt
HY,Landkreis Bautzen,Sachsen
IL,Ilm-Kreis,Thüringen
ILL,Landkreis Neu-Ulm,Bayern
JE,Landkreis Wittenberg,Sachsen-Anhalt
JÜL,Kreis Düren,Nordrhein-Westfalen
KEL,Ortenaukreis,Baden-Württemberg
KEM,Landkreis Tirschenreuth,Bayern
KK,Kreis Viersen,Nordrhein-Westfalen
KLZ,Altmarkkreis Salzwedel,Sachsen-Anhalt
KM,Landkreis Bautzen,Sachsen
KÖN,Landkreis Rhön-Grabfeld,Bayern
KÖT,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
KÖZ,Landkreis Cham,Bayern
KRU,Landkreis Günzburg,Bayern
KW,Landkreis Dahme-Spreewald,Brandenburg
KY,Landkreis Ostprignitz-Ruppin,Brandenburg
LBS,Saale-Orla-Kreis,Thüringen
LBZ,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
LC,Landkreis Dahme-Spreewald,Brandenburg
LEO,Landkreis Böblingen,Baden-Württemberg
LH,Kreis Coesfeld,Nordrhein-Westfalen
LIB,Landkreis Elbe-Elster,Brandenburg
LN,Landkreis Dahme-Spreewald,Brandenburg
LÖB,Landkreis Görlitz,Sachsen
LP,Kreis Soest,Nordrhein-Westfalen
LR,Ortenaukreis,Baden-Württemberg
LSZ,Unstrut-Hainich-Kreis,Thüringen
LÜN,Kreis Unna,Nordrhein-Westfalen
LWL,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
MAB,Erzgebirgskreis,Sachsen
MAI,Landkreis Kelheim,Bayern
MAK,Landkreis Wunsiedel im Fichtelgebirge,Bayern
MAL,Landkreis Landshut,Bayern
MC,Landkreis Mecklenburgische Seenplatte (ohne die Stadt Neubrandenburg),Mecklenburg-Vorpommern
MED,Kreis Dithmarschen,Schleswig-Holstein
MEG,Schwalm-Eder-Kreis,Hessen
MEK,Erzgebirgskreis,Sachsen
MER,Saalekreis,Sachsen-Anhalt
MET,Landkreis Rhön-Grabfeld,Bayern
MGH,Main-Tauber-Kreis,Baden-Württemberg
MGN,Landkreis Schmalkalden-Meiningen,Thüringen
MHL,Unstrut-Hainich-Kreis,Thüringen
ML,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
MO,Kreis Wesel,Nordrhein-Westfalen
MOD,Landkreis Ostallgäu,Bayern
MON,Städteregion Aachen,Nordrhein-Westfalen
MQ,Saalekreis,Sachsen-Anhalt
MST,Landkreis Mecklenburgische Seenplatte (ohne die Stadt Neubrandenburg),Mecklenburg-Vorpommern
MTL,Landkreis Leipzig,Sachsen
MÜB,Landkreis Bayreuth,Bayern
MÜR,Landkreis Mecklenburgische Seenplatte (ohne die Stadt Neubrandenburg),Mecklenburg-Vorpommern
MW,Landkreis Mittelsachsen,Sachsen
MY,Landkreis Mayen-Koblenz,Rheinland-Pfalz
N,Landkreis Nürnberger Land,Bayern
NAB,Landkreis Amberg-Sulzbach,Bayern
NAI,Landkreis Hof,Bayern
NAU,Landkreis Havelland,Brandenburg
NEB,Burgenlandkreis,Sachsen-Anhalt
NEC,Landkreis Coburg,Bayern
NEN,Landkreis Schwandorf,Bayern
NH,Landkreis Sonneberg,Thüringen
NMB,Burgenlandkreis,Sachsen-Anhalt
NÖ,Landkreis Donau-Ries,Bayern
NOL,Landkreis Görlitz,Sachsen
NOR,Landkreis Aurich,Niedersachsen
NP,Landkreis Ostprignitz-Ruppin,Brandenburg
NT,Landkreis Esslingen,Baden-Württemberg
NVP,Landkreis Vorpommern-Rügen (ohne die Stadt Stralsund),Mecklenburg-Vorpommern
NY,Landkreis Görlitz,Sachsen
NZ,Landkreis Mecklenburgische Seenplatte (ohne die Stadt Neubrandenburg),Mecklenburg-Vorpommern
OBG,Landkreis Stendal,Sachsen-Anhalt
OC,Landkreis Börde,Sachsen-Anhalt
OCH,Landkreis Würzburg,Bayern
OHA,Landkreis Göttingen,Niedersachsen
ÖHR,Hohenlohekreis,Baden-Württemberg
OK,Landkreis Börde,Sachsen-Anhalt
OP,Leverkusen,Nordrhein-Westfalen
OVI,Landkreis Schwandorf,Bayern
OVL,Vogtlandkreis,Sachsen
OVP,Landkreis Vorpommern-Greifswald (ohne die Stadt Greifswald),Mecklenburg-Vorpommern
OZ,Landkreis Nordsachsen,Sachsen
PAR,Landkreis Neumarkt in der Oberpfalz,Bayern
PCH,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
PEG,Landkreis Bayreuth,Bayern
PL,Vogtlandkreis,Sachsen
PN,Saale-Orla-Kreis,Thüringen
PRÜ,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
PW,Landkreis Vorpommern-Greifswald (ohne die Stadt Greifswald),Mecklenburg-Vorpommern
PZ,Landkreis Uckermark,Brandenburg
QFT,Saalekreis,Sachsen-Anhalt
QLB,Landkreis Harz,Sachsen-Anhalt
RC,Vogtlandkreis,Sachsen
RDG,Landkreis Vorpommern-Rügen (ohne die Stadt Stralsund),Mecklenburg-Vorpommern
REH,Landkreis Wunsiedel im Fichtelgebirge,Bayern
RG,Landkreis Meißen,Sachsen
RI,Landkreis Schaumburg,Niedersachsen
RID,Landkreis Kelheim,Bayern
RIE,Landkreis Meißen,Sachsen
RL,Landkreis Mittelsachsen,Sachsen
RM,Landkreis Mecklenburgische Seenplatte (ohne die Stadt Neubrandenburg),Mecklenburg-Vorpommern
RN,Landkreis Havelland,Brandenburg
ROD,Landkreis Cham,Bayern
ROF,Landkreis Hersfeld-Rotenburg,Hessen
ROK,Donnersbergkreis,Rheinland-Pfalz
ROL,Landkreis Kelheim,Bayern
ROS,Landkreis Rostock,Mecklenburg-Vorpommern
ROT,Landkreis Ansbach,Bayern
RSL,Dessau-Roßlau,Sachsen-Anhalt
RU,Landkreis Saalfeld-Rudolstadt,Thüringen
RÜG,Landkreis Vorpommern-Rügen (ohne die Stadt Stralsund),Mecklenburg-Vorpommern
SAB,Landkreis Trier-Saarburg,Rheinland-Pfalz
SAN,Landkreis Kulmbach,Bayern
SBG,Landkreis Vorpommern-Greifswald (ohne die Stadt Greifswald),Mecklenburg-Vorpommern
SBK,Salzlandkreis,Sachsen-Anhalt
SCZ,Saale-Orla-Kreis,Thüringen
SDH,Kyffhäuserkreis,Thüringen
SDT,Landkreis Uckermark,Brandenburg
SEB,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
SEE,Landkreis Märkisch-Oderland,Brandenburg
SEF,Landkreis Neustadt an der Aisch-Bad Windsheim,Bayern
SEL,Landkreis Wunsiedel im Fichtelgebirge,Bayern
SFB,Landkreis Oberspreewald-Lausitz,Brandenburg
SFT,Salzlandkreis,Sachsen-Anhalt
SGH,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
SLE,Kreis Euskirchen,Nordrhein-Westfalen
SLN,Landkreis Altenburger Land,Thüringen
SLÜ,Main-Kinzig-Kreis (ohne die Stadt Hanau),Hessen
SLZ,Wartburgkreis,Thüringen
SOB,Landkreis Neuburg-Schrobenhausen,Bayern
SOG,Landkreis Weilheim-Schongau,Bayern
SPB,Landkreis Spree-Neiße,Brandenburg
SRB,Landkreis Märkisch-Oderland,Brandenburg
SRO,Saale-Holzland-Kreis,Thüringen
STB,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
STE,Landkreis Lichtenfels,Bayern
STL,Erzgebirgskreis,Sachsen
SUL,Landkreis Amberg-Sulzbach,Bayern
SWA,Rheingau-Taunus-Kreis,Hessen
SZB,Erzgebirgskreis,Sachsen
TE,Kreis Steinfurt,Nordrhein-Westfalen
TET,Landkreis Rostock,Mecklenburg-Vorpommern
TG,Landkreis Nordsachsen,Sachsen
TO,Landkreis Nordsachsen,Sachsen
TP,Landkreis Uckermark,Brandenburg
UEM,Landkreis Vorpommern-Greifswald (ohne die Stadt Greifswald),Mecklenburg-Vorpommern
UER,Landkreis Vorpommern-Greifswald (ohne die Stadt Greifswald),Mecklenburg-Vorpommern
UFF,Landkreis Neustadt an der Aisch-Bad Windsheim,Bayern
USI,Hochtaunuskreis,Hessen
VAI,Landkreis Ludwigsburg,Baden-Württemberg
VIB,Landkreis Rottal-Inn,Bayern
VOH,Landkreis Neustadt an der Waldnaab,Bayern
WA,Landkreis Waldeck-Frankenberg,Hessen
WAN,Herne,Nordrhein-Westfalen
WAT,Bochum,Nordrhein-Westfalen
WBS,Landkreis Eichsfeld,Thüringen
WDA,Landkreis Zwickau,Sachsen
WEL,Landkreis Limburg-Weilburg,Hessen
WER,Landkreis Dillingen an der Donau,Bayern
WIS,Landkreis Nordwestmecklenburg (ohne die Stadt Wismar),Mecklenburg-Vorpommern
WIT,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen
WIZ,Werra-Meißner-Kreis,Hessen
WK,Landkreis Ostprignitz-Ruppin,Brandenburg
WLG,Landkreis Vorpommern-Greifswald (ohne die Stadt Greifswald),Mecklenburg-Vorpommern
WMS,Landkreis Börde,Sachsen-Anhalt
WOH,Landkreis Kassel,Hessen
WOL,Ortenaukreis,Baden-Württemberg
WOR,Landkreis Bad Tölz-Wolfratshausen,Bayern
WOS,Landkreis Freyung-Grafenau,Bayern
WR,Landkreis Harz,Sachsen-Anhalt
WRN,Landkreis Mecklenburgische Seenplatte (ohne die Stadt Neubrandenburg),Mecklenburg-Vorpommern
WS,Landkreis Rosenheim,Bayern
WSF,Burgenlandkreis,Sachsen-Anhalt
WSW,Landkreis Görlitz,Sachsen
WÜM,Landkreis Cham,Bayern
WUR,Landkreis Leipzig,Sachsen
WZL,Landkreis Börde,Sachsen-Anhalt
ZE,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
ZEL,Landkreis Cochem-Zell,Rheinland-Pfalz
ZI,Landkreis Görlitz,Sachsen
ZIG,Schwalm-Eder-Kreis,Hessen
ZP,Erzgebirgskreis,Sachsen
ZR,Landkreis Greiz,Thüringen
ZW,Landkreis Südwestpfalz,Rheinland-Pfalz
ZZ,Burgenlandkreis,Sachsen-Anhalt
